"Source:","/Users/dtaylor/tmp/enviro-node/electronics/motherboard/enviro-node/enviro-node.kicad_sch"
"Date:","Wednesday, 19 April 2023 at 02:27:09 pm"
"Tool:","Eeschema (6.0.11-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","141"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PACKAGE","PARTREV","PRICE","Part","SNAPEDA_PACKAGE_ID","STANDARD"
"","","B1","1049P","1049P:1049P","1049P:1049P","","","","","","","","","","","","",""
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/yageo/AC0805KRX7R7BB104/6643148","","","","","","","","","","AC0805KRX7R7BB104","",""
"","","C4","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/samsung-electro-mechanics/CL21B475KOFNFNE/3888628","","","","","","","","","","CL21B475KOFNFNE","",""
"","","C5","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/kemet/C0805C105K3RAC7800/2211765","","","","","","","","","","C0805C105K3RAC7800","",""
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/yageo/AC0805KRX7R7BB104/6643148","","","","","","","","","","AC0805KRX7R7BB104","",""
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/yageo/AC0805KRX7R7BB104/6643148","","","","","","","","","","AC0805KRX7R7BB104","",""
"","","C8","12pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/vishay-vitramon/VJ0805A120FXJCW1BC/8307136?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbXAAYAOAdlgCYQBdAgBwBcoQBlNgJwEsAdgHMQAXwIBaAJwIQySHwCu%2BIqXBMJISQ2jyoy1cUhkArJq26yYOiwBiAAirlTDrgFkAIpqA","","","","","","","","","","VJ0805A120FXJCW1BC","",""
"","","C9","12pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/vishay-vitramon/VJ0805A120FXJCW1BC/8307136?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbXAAYAOAdlgCYQBdAgBwBcoQBlNgJwEsAdgHMQAXwIBaAJwIQySHwCu%2BIqXBMJISQ2jyoy1cUhkArJq26yYOiwBiAAirlTDrgFkAIpqA","","","","","","","","","","VJ0805A120FXJCW1BC","",""
"","","C10","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com.au/en/products/detail/kemet/C0805C226M8PAC7800/5327667","","","","","","","","","","C0805C226M8PAC7800","",""
