Ref,Val,Package,PosX,PosY,Rot,Side
B1,1049P,1049P,23.900556,-89.86971,180,top
C1,4.7uF,C_0805_2012Metric,43.044556,-56.49661,90,top
C2,0.1uF,C_0805_2012Metric,40.489556,-56.49661,90,top
C3,0.1uF,C_0805_2012Metric,46.714556,-58.20861,90,top
C4,4.7uF,C_0805_2012Metric,49.114556,-58.20861,90,top
C5,1uF,C_0805_2012Metric,42.924556,4.52939,180,top
C6,0.1uF,C_0805_2012Metric,42.924556,6.81539,0,top
C7,0.1uF,C_0805_2012Metric,42.938556,-6.08461,180,top
C8,12pF,C_0805_2012Metric,32.082956,-3.85961,180,top
C9,12pF,C_0805_2012Metric,35.807956,-3.85961,0,top
C10,22uF,C_0805_2012Metric,42.988556,-9.68461,180,top
C11,10uF,C_0805_2012Metric,-16.071444,-115.35861,0,top
C12,1uF,C_0805_2012Metric,29.188556,-81.57661,180,top
C13,1uF,C_0805_2012Metric,-13.483444,-125.01061,0,top
C14,4.7uF,C_0805_2012Metric,28.426556,-53.12861,90,top
C15,10uF,C_0805_2012Metric,-24.405444,-124.24861,0,top
C16,4.7uF,C_0805_2012Metric,31.474556,-58.97061,0,top
C17,100uF,CAPPM3528X210N,30.712556,-88.87661,0,top
C18,2.2uF,C_0805_2012Metric,30.204556,-91.92461,0,top
C19,1uF,C_0805_2012Metric,31.474556,-61.25661,0,top
C20,10uF,C_0805_2012Metric,35.030556,-102.40461,0,top
C21,0.1uF,C_0805_2012Metric,34.776556,-64.55861,90,top
C22,1uF,C_0805_2012Metric,-22.373444,-47.79461,90,top
C23,100uF,CAPPM3528X210N,-24.243944,-36.41861,180,top
C24,0.1uF,C_0805_2012Metric,-23.573444,-33.41321,180,top
C25,10nF,C_0805_2012Metric,-23.573444,-31.15281,180,top
C26,68pF,C_0805_2012Metric,-23.591444,-28.86861,180,top
C27,47pF,C_0805_2012Metric,-36.896944,-24.62461,0,top
C28,0.1uF,C_0805_2012Metric,-25.167444,-4.86861,0,top
C29,15pF,C_0805_2012Metric,-23.591444,-26.56861,180,top
C30,47pF,C_0805_2012Metric,-41.073444,-24.62461,180,top
C31,47pF,C_0805_2012Metric,-45.249944,-24.68061,180,top
C32,47pF,C_0805_2012Metric,-32.767444,-24.62461,0,top
C33,0.1uF,C_0805_2012Metric,-32.767444,-26.97261,0,top
C34,0.1uF,C_0805_2012Metric,-22.119444,1.98939,90,top
CR1,PESD0402-140,PESD0402-140,-37.263444,-26.65661,0,top
CR2,PESD0402-140,PESD0402-140,-40.706944,-26.65661,180,top
CR3,PESD0402-140,PESD0402-140,-44.883444,-26.71261,180,top
CR4,PESD0402-140,PESD0402-140,-33.133944,-28.94261,0,top
